"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034242","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","9/389","49/18842",0.183673469387755,8.89659514191281,8.03587439796243,6.15165855015504e-07,7.53578172393992e-05,7.53578172393992e-05,"RPL31/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",9
"GO:1904358","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","7/389","26/18842",0.269230769230769,13.0407356140004,8.92009185954521,7.10131441119531e-07,8.52157729343437e-05,8.52157729343437e-05,"CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/TCP1",7
"GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","10/389","65/18842",0.153846153846154,7.45184892228594,7.56521106469793,8.16230600466049e-07,9.59887186148074e-05,9.59887186148074e-05,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",10
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","20/389","269/18842",0.0743494423791822,3.60126527842815,6.23897203868498,8.73663314618791e-07,0.000100728240979578,0.000100728240979578,"EEF2/RCN3/ERP44/SEL1L/VAPB/UBXN1/PARK7/HSP90B1/PDIA3/MANF/UBXN4/OPA1/VCP/BCAP31/NPLOC4/SEC16A/DNAJC3/UFM1/P4HB/SYVN1",20
"GO:0008652","GO:0008652","amino acid biosynthetic process","10/389","67/18842",0.149253731343284,7.22940567087442,7.41630064287995,1.0900271534591e-06,0.000123256916583452,0.000123256916583452,"PARK7/ABAT/ADI1/SHMT2/UPB1/PAH/ASS1/GLS2/MTAP/ALDH18A1",10
"GO:0006403","GO:0006403","RNA localization","17/389","206/18842",0.0825242718446602,3.99722964035241,6.28015789225629,1.40338973527527e-06,0.000155696823460728,0.000155696823460728,"PPP1R21/EXOSC10/G3BP2/SSB/CCT3/CCT5/FBL/DKC1/SEC13/SUPT6H/CCT7/KPNB1/NUP210/CCT8/RAN/CCT6A/TCP1",17
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","23/389","357/18842",0.0644257703081232,3.12059219574719,5.87320045752715,1.61805551273269e-06,0.000172984843906695,0.000172984843906695,"HTATSF1/PRPF3/PRPF8/EFTUD2/HSPA8/HNRNPUL1/NCL/DHX15/PUF60/DDX1/ZCCHC8/PRPF40A/DDX5/WBP4/U2AF2/LUC7L2/CIRBP/HNRNPR/RBM19/PRPF39/HNRNPK/DDX17/LSM8",23
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","23/389","357/18842",0.0644257703081232,3.12059219574719,5.87320045752715,1.61805551273269e-06,0.000172984843906695,0.000172984843906695,"HTATSF1/PRPF3/PRPF8/EFTUD2/HSPA8/HNRNPUL1/NCL/DHX15/PUF60/DDX1/ZCCHC8/PRPF40A/DDX5/WBP4/U2AF2/LUC7L2/CIRBP/HNRNPR/RBM19/PRPF39/HNRNPK/DDX17/LSM8",23
"GO:0030258","GO:0030258","lipid modification","15/389","166/18842",0.0903614457831325,4.37683897543903,6.34476801846805,1.89849063988151e-06,0.000199341517187559,0.000199341517187559,"ECH1/HADHB/ACOX1/ACOX3/ECI1/ETFDH/FABP3/DECR2/HSD17B10/CROT/EPHX2/ACADM/HADH/PHYH/ACAA1",15
"GO:0006900","GO:0006900","vesicle budding from membrane","11/389","89/18842",0.123595505617978,5.98659772970163,6.84632081445226,2.17768602675864e-06,0.00022464550591826,0.00022464550591826,"VAPB/SEC24D/PLD3/SURF4/TRAPPC8/ARFGAP2/VAPA/SEC13/SEC16A/RAB1A/TMED9",11
"GO:0033489","GO:0033489","cholesterol biosynthetic process via desmosterol","6/389","20/18842",0.3,14.5311053984576,8.79040074996474,2.26030374706331e-06,0.000227254937739442,0.000227254937739442,"FDPS/MVK/LSS/PMVK/HMGCS1/LBR",6
"GO:0050821","GO:0050821","protein stabilization","18/389","237/18842",0.0759493670886076,3.67876086036901,6.02540946312473,2.28027913718148e-06,0.000227254937739442,0.000227254937739442,"PHB2/SEL1L/PARK7/RABL3/CSNK2A1/CCT3/CCT5/A1CF/HIP1/FLNA/PFDN2/SEC16A/CCT7/CCT8/CHP1/CCT6A/TCP1/SYVN1",18
"GO:0090114","GO:0090114","COPII-coated vesicle budding","8/389","43/18842",0.186046511627907,9.0115382316016,7.63617808185116,2.36721921655557e-06,0.000231987483222446,0.000231987483222446,"VAPB/SEC24D/SURF4/TRAPPC8/VAPA/SEC13/SEC16A/RAB1A",8
"GO:0006099","GO:0006099","tricarboxylic acid cycle","7/389","32/18842",0.21875,10.5955976863753,7.88761868296564,3.26539311287665e-06,0.000314762483667454,0.000314762483667454,"FH/ACO2/IDH2/DLST/SUCLG1/MDH1/SDHA",7
"GO:0032210","GO:0032210","regulation of telomere maintenance via telomerase","8/389","45/18842",0.177777777777778,8.6110254213082,7.42161537448562,3.39428449237643e-06,0.000321909561535055,0.000321909561535055,"EXOSC10/CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/TCP1",8
"GO:0007004","GO:0007004","telomere maintenance via telomerase","9/389","60/18842",0.15,7.26555269922879,7.05760549910996,3.6233864410066e-06,0.00033818273449395,0.00033818273449395,"EXOSC10/CCT3/CCT5/DKC1/GAR1/CCT7/CCT8/CCT6A/TCP1",9
"GO:0007520","GO:0007520","myoblast fusion","10/389","78/18842",0.128205128205128,6.20987410190495,6.69429894139085,4.52105831231418e-06,0.000415372232443865,0.000415372232443865,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",10
"GO:0034063","GO:0034063","stress granule assembly","7/389","35/18842",0.2,9.68740359897172,7.46891544554908,6.18481293614896e-06,0.000559223743597359,0.000559223743597359,"G3BP2/CIRBP/CSDE1/DYNC1H1/PRRC2C/G3BP1/UBAP2L",7
"GO:0033540","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","5/389","14/18842",0.357142857142857,17.2989349981638,8.85756678085723,6.27700120364383e-06,0.000559223743597359,0.000559223743597359,"ACOX1/ACOX3/DECR2/CROT/ACAA1",5
"GO:0006278","GO:0006278","RNA-templated DNA biosynthetic process","9/389","67/18842",0.134328358208955,6.50646510378698,6.55561747730567,9.22820016203885e-06,0.000809877864966992,0.000809877864966992,"EXOSC10/CCT3/CCT5/DKC1/GAR1/CCT7/CCT8/CCT6A/TCP1",9
"GO:0071826","GO:0071826","protein-RNA complex organization","18/389","268/18842",0.0671641791044776,3.25323255189349,5.39403770298023,1.25958170226482e-05,0.00108916770725252,0.00108916770725252,"HTATSF1/PRPF3/PRPF8/EFTUD2/RPS15/EIF2S3/PUF60/EIF3C/DDX1/RPS6/EIF3H/U2AF2/LUC7L2/VCP/RPS19/PRPF39/NOP2/LSM8",18
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","10/389","88/18842",0.113636363636364,5.50420659032484,6.14902086213384,1.35055541073946e-05,0.0011234789298293,0.0011234789298293,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",10
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","16/389","219/18842",0.0730593607305936,3.53877757040063,5.48675001008456,1.35456124780901e-05,0.0011234789298293,0.0011234789298293,"UBXN1/PARK7/PSMD6/CSNK2A1/EIF3H/VCP/PSMD14/USP5/PSMC1/PSMC4/BCAP31/PSMD2/UBQLN4/PSMC5/PSMA5/PSMB4",16
"GO:0170041","GO:0170041","non-proteinogenic amino acid metabolic process","8/389","54/18842",0.148148148148148,7.17585451775683,6.59852620352871,1.39339449147443e-05,0.0011234789298293,0.0011234789298293,"ALDH5A1/PARK7/ABAT/UPB1/ASS1/P4HB/GNMT/ALDH18A1",8
"GO:1904356","GO:1904356","regulation of telomere maintenance via telomere lengthening","8/389","54/18842",0.148148148148148,7.17585451775683,6.59852620352871,1.39339449147443e-05,0.0011234789298293,0.0011234789298293,"EXOSC10/CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/TCP1",8
