sample,sample_column,source_dataset,match_type,group_name,tissue,age,environment,sex
EM_DIA-30SPD_29_S6-C5_1_9689.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_29_S6-C5_1_9689.d,EM_251_batch2,exact,L_8FL,Liver,8wk,Lab,Female
EM_DIA-30SPD_30_S6-C6_1_9690.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_30_S6-C6_1_9690.d,EM_251_batch2,exact,L_8FL,Liver,8wk,Lab,Female
EM_DIA-30SPD_31_S6-C7_1_9691.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_31_S6-C7_1_9691.d,EM_251_batch2,exact,L_8FL,Liver,8wk,Lab,Female
EM_DIA-30SPD_33_S6-C9_1_9693.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_33_S6-C9_1_9693.d,EM_251_batch2,exact,L_8FM,Liver,8wk,Mesocosm,Female
EM_DIA-30SPD_34_S6-C10_1_9694.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_34_S6-C10_1_9694.d,EM_251_batch2,exact,L_8FM,Liver,8wk,Mesocosm,Female
EM_DIA-30SPD_35_S6-C11_1_9695.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_35_S6-C11_1_9695.d,EM_251_batch2,exact,L_8FM,Liver,8wk,Mesocosm,Female
EM_DIA-30SPD_9_S6-A9_1_9669.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_9_S6-A9_1_9669.d,EM_QC_RERUN,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_15_S6-B3_1_9675.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_15_S6-B3_1_9675.d,EM_QC_RERUN,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_32_S6-C8_1_9692.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_32_S6-C8_1_9692.d,EM_QC_RERUN,exact,L_8FM,Liver,8wk,Mesocosm,Female
EM_DIA-30SPD_36_S6-C12_1_9696.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_36_S6-C12_1_9696.d,EM_QC_RERUN,exact,L_8FM,Liver,8wk,Mesocosm,Female
Ellen10_S3-C10_1_7533,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen10_S3-C10_1_7533.d,Ellen_251,exact,M_8FL,Muscle,8wk,Lab,Female
Ellen11_S3-C11_1_7534,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen11_S3-C11_1_7534.d,Ellen_251,exact,M_18FM,Muscle,18wk,Mesocosm,Female
Ellen12_S3-C12_1_7535,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen12_S3-C12_1_7535.d,Ellen_251,exact,M_8FL,Muscle,8wk,Lab,Female
Ellen13_S3-D1_1_7536,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen13_S3-D1_1_7536.d,Ellen_251,exact,M_8FL,Muscle,8wk,Lab,Female
Ellen14_S3-D2_1_7537,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen14_S3-D2_1_7537.d,Ellen_251,exact,M_18FM,Muscle,18wk,Mesocosm,Female
Ellen15_S3-D3_1_7538,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen15_S3-D3_1_7538.d,Ellen_251,exact,M_18FL,Muscle,18wk,Lab,Female
Ellen16_S3-D4_1_7539,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen16_S3-D4_1_7539.d,Ellen_251,exact,M_18FL,Muscle,18wk,Lab,Female
Ellen17_S3-D5_1_7540,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen17_S3-D5_1_7540.d,Ellen_251,exact,M_43FL,Muscle,43wk,Lab,Female
Ellen18_S3-D6_1_7541,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen18_S3-D6_1_7541.d,Ellen_251,exact,M_18FM,Muscle,18wk,Mesocosm,Female
Ellen19_S3-D7_1_7542,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen19_S3-D7_1_7542.d,Ellen_251,exact,M_43FL,Muscle,43wk,Lab,Female
Ellen1_S3-C1_1_7524,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen1_S3-C1_1_7524.d,Ellen_251,exact,M_8FL,Muscle,8wk,Lab,Female
Ellen20_S3-D8_1_7543,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen20_S3-D8_1_7543.d,Ellen_251,exact,M_43FL,Muscle,43wk,Lab,Female
Ellen21_S3-D9_1_7544,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen21_S3-D9_1_7544.d,Ellen_251,exact,M_8FM,Muscle,8wk,Mesocosm,Female
Ellen22_S3-D10_1_7545,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen22_S3-D10_1_7545.d,Ellen_251,exact,M_8FM,Muscle,8wk,Mesocosm,Female
Ellen23_S3-D11_1_7546,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen23_S3-D11_1_7546.d,Ellen_251,exact,M_8FM,Muscle,8wk,Mesocosm,Female
Ellen24_S3-D12_1_7547,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen24_S3-D12_1_7547.d,Ellen_251,exact,M_8FM,Muscle,8wk,Mesocosm,Female
Ellen25_S3-B8_1_7523,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen25_S3-B8_1_7523.d,Ellen_251,exact,M_8FM,Muscle,8wk,Mesocosm,Female
Ellen2_S3-C2_1_7525,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen2_S3-C2_1_7525.d,Ellen_251,exact,M_18FL,Muscle,18wk,Lab,Female
Ellen3_S3-C3_1_7526,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen3_S3-C3_1_7526.d,Ellen_251,exact,M_18FM,Muscle,18wk,Mesocosm,Female
Ellen4_S3-C4_1_7527,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen4_S3-C4_1_7527.d,Ellen_251,exact,M_43FL,Muscle,43wk,Lab,Female
Ellen5_S3-C5_1_7528,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen5_S3-C5_1_7528.d,Ellen_251,exact,M_8FL,Muscle,8wk,Lab,Female
Ellen6_S3-C6_1_7529,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen6_S3-C6_1_7529.d,Ellen_251,exact,M_18FL,Muscle,18wk,Lab,Female
Ellen7_S3-C7_1_7530,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen7_S3-C7_1_7530.d,Ellen_251,exact,M_43FL,Muscle,43wk,Lab,Female
Ellen8_S3-C8_1_7531,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen8_S3-C8_1_7531.d,Ellen_251,exact,M_18FM,Muscle,18wk,Mesocosm,Female
Ellen9_S3-C9_1_7532,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen9_S3-C9_1_7532.d,Ellen_251,exact,M_18FL,Muscle,18wk,Lab,Female
Ellen_KLAC_10_S6-D10_1_6499,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_10_S6-D10_1_6499.d,Ellen_KLAC_251,exact,M_8MM,Muscle,8wk,Mesocosm,Male
