"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","15/197","243/18842",0.0617283950617284,5.90399197844206,7.90882534227882,4.25233089508486e-08,1.39037799758971e-05,1.39037799758971e-05,"NME4/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",15
"GO:0170040","GO:0170040","proteinogenic amino acid catabolic process","10/197","92/18842",0.108695652173913,10.3961597881262,9.28640382492579,4.25625917629504e-08,1.39037799758971e-05,1.39037799758971e-05,"HSD17B10/GCSH/PAH/GSTZ1/SDSL/SHMT2/ASS1/GCAT/IDO1/AMT",10
"GO:0046034","GO:0046034","ATP metabolic process","14/197","216/18842",0.0648148148148148,6.19919157736417,7.89963073213373,6.64705750143835e-08,2.05708937412934e-05,2.05708937412934e-05,"NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",14
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","15/197","259/18842",0.0579150579150579,5.53926660525645,7.56104031271377,9.83320104842381e-08,2.79412988445662e-05,2.79412988445662e-05,"NME4/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",15
"GO:0006163","GO:0006163","purine nucleotide metabolic process","19/197","422/18842",0.0450236966824645,4.30627661365987,7.06080945705807,1.02777321233083e-07,2.79412988445662e-05,2.79412988445662e-05,"PC/NME4/TKT/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/LDHB/IDO1/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",19
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","10/197","101/18842",0.099009900990099,9.46976931195658,8.77283138711881,1.04542274588513e-07,2.79412988445662e-05,2.79412988445662e-05,"HSD17B10/GCSH/PAH/GSTZ1/SDSL/SHMT2/ASS1/GCAT/IDO1/AMT",10
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","13/197","193/18842",0.0673575129533679,6.44238710186476,7.81167565315393,1.26913465608966e-07,3.24457033817704e-05,3.24457033817704e-05,"HSD17B10/GCSH/P4HB/PAH/GSTZ1/SDSL/PARK7/SHMT2/ASS1/GCAT/IDO1/FH/AMT",13
"GO:0098869","GO:0098869","cellular oxidant detoxification","9/197","89/18842",0.101123595505618,9.67193292648149,8.42906553933091,3.84226838696774e-07,9.36038154715246e-05,9.36038154715246e-05,"CAT/PRDX4/PRDX5/GSTZ1/TXNDC2/AMBP/PRDX1/PRDX2/PARK7",9
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","7/197","45/18842",0.155555555555556,14.878059785674,9.58064248709195,3.97975405916346e-07,9.36038154715246e-05,9.36038154715246e-05,"CAT/PRDX4/PRDX5/PRDX1/PRDX2/PARK7/ACOX1",7
"GO:1990748","GO:1990748","cellular detoxification","10/197","123/18842",0.0813008130081301,7.77598943502125,7.74975276572243,6.69118690140319e-07,0.000145173974873948,0.000145173974873948,"CAT/PRDX4/PRDX5/GSTZ1/TXNDC2/AMBP/PRDX1/PRDX2/SUCLG1/PARK7",10
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","11/197","154/18842",0.0714285714285714,6.83176214648296,7.46934714764351,6.74942820480439e-07,0.000145173974873948,0.000145173974873948,"PC/TKT/OGDH/ALDOB/GPI/GAPDH/LDHB/IDO1/DHTKD1/GAPDHS/ENO3",11
"GO:0009117","GO:0009117","nucleotide metabolic process","19/197","478/18842",0.0397489539748954,3.80177558779177,6.37775081878166,6.91304642256894e-07,0.000145173974873948,0.000145173974873948,"PC/NME4/TKT/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/LDHB/IDO1/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",19
"GO:0006631","GO:0006631","fatty acid metabolic process","17/197","390/18842",0.0435897435897436,4.16912664323832,6.50060936513537,7.8025739107307e-07,0.000158203912396884,0.000158203912396884,"HSD17B10/ABCB11/ACAT2/BDH2/ACAD9/EHHADH/ACOX3/ACOX1/POR/ACADM/FABP3/ECI2/ETFDH/FASN/PHYH/CYP2J2/PLIN5",17
"GO:0006520","GO:0006520","amino acid metabolic process","14/197","271/18842",0.051660516605166,4.94105306535299,6.71712108394021,1.05346799215677e-06,0.000206479726462727,0.000206479726462727,"HSD17B10/GCSH/P4HB/PAH/GSTZ1/SDSL/PARK7/SHMT2/ASS1/GCAT/IDO1/ABAT/FH/AMT",14
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","11/197","166/18842",0.0662650602409639,6.33789982264082,7.10045900682886,1.41974938709097e-06,0.00026929439987403,0.00026929439987403,"PC/TKT/OGDH/ALDOB/GPI/GAPDH/LDHB/IDO1/DHTKD1/GAPDHS/ENO3",11
"GO:0097237","GO:0097237","cellular response to toxic substance","10/197","135/18842",0.0740740740740741,7.08479037413048,7.29313623437745,1.57609610939633e-06,0.000289607660101576,0.000289607660101576,"CAT/PRDX4/PRDX5/GSTZ1/TXNDC2/AMBP/PRDX1/PRDX2/SUCLG1/PARK7",10
"GO:0098754","GO:0098754","detoxification","11/197","172/18842",0.063953488372093,6.11681029394404,6.9293942965671,2.01120826588212e-06,0.000358360745557177,0.000358360745557177,"CAT/PRDX4/PRDX5/GSTZ1/TXNDC2/AMBP/PRDX1/PRDX2/SUCLG1/PARK7/AKR7A3",11
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","15/197","340/18842",0.0441176470588235,4.21961779635712,6.15798084290125,3.07472799905266e-06,0.000524102188141061,0.000524102188141061,"NME4/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",15
"GO:0009636","GO:0009636","response to toxic substance","13/197","256/18842",0.05078125,4.85695590101523,6.38668627807577,3.11965588179203e-06,0.000524102188141061,0.000524102188141061,"CAT/PRDX4/PRDX5/GSTZ1/TXNDC2/AMBP/PRDX1/PRDX2/SUCLG1/PARK7/AKR7A3/ASS1/CPOX",13
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","8/197","88/18842",0.0909090909090909,8.69497000461467,7.43712713271323,3.89444966045904e-06,0.000636093444541644,0.000636093444541644,"OGDH/SUCLG1/FAHD2A/ASS1/IDO1/PHYH/SDHA/FH",8
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","10/197","152/18842",0.0657894736842105,6.29241250333957,6.7340249956627,4.60247391404362e-06,0.000731420178772338,0.000731420178772338,"HSD17B10/GCSH/PAH/GSTZ1/SDSL/SHMT2/ASS1/GCAT/IDO1/AMT",10
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","5/197","25/18842",0.2,19.1289340101523,9.3233282320038,5.32233030566148e-06,0.000810108730215135,0.000810108730215135,"CAT/PRDX4/PRDX5/PRDX1/PRDX2",5
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","4/197","12/18842",0.333333333333333,31.8815566835871,10.9993884895485,5.3731701493861e-06,0.000810108730215135,0.000810108730215135,"P4HB/HSP90B1/PDIA3/CANX",4
"GO:0022900","GO:0022900","electron transport chain","9/197","123/18842",0.0731707317073171,6.99839049151913,6.8604066974003,5.86162184762716e-06,0.000861658411601192,0.000861658411601192,"NDUFS7/PARK7/POR/CYC1/NDUFB11/ETFDH/NDUFA12/SDHA/NDUFS2",9
"GO:0009259","GO:0009259","ribonucleotide metabolic process","15/197","360/18842",0.0416666666666667,3.98519458544839,5.87832111615636,6.14584372441372e-06,0.000881403929257382,0.000881403929257382,"NME4/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",15
"GO:0170033","GO:0170033","L-amino acid metabolic process","10/197","159/18842",0.0628930817610063,6.01538805350701,6.52805328113956,6.87077584078827e-06,0.000961908617710357,0.000961908617710357,"HSD17B10/P4HB/PAH/GSTZ1/SDSL/PARK7/SHMT2/ASS1/GCAT/IDO1",10
"GO:0170035","GO:0170035","L-amino acid catabolic process","8/197","96/18842",0.0833333333333333,7.97038917089678,7.03788604326214,7.48165454144695e-06,0.00101145942371418,0.00101145942371418,"HSD17B10/PAH/GSTZ1/SDSL/SHMT2/ASS1/GCAT/IDO1",8
"GO:0001731","GO:0001731","formation of translation preinitiation complex","4/197","13/18842",0.307692307692308,29.4291292463881,10.5396332858386,7.6977870375158e-06,0.00101145942371418,0.00101145942371418,"EIF2S3/GAPDH/RPL13A/DENR",4
"GO:0019693","GO:0019693","ribose phosphate metabolic process","15/197","367/18842",0.0408719346049046,3.9091826996224,5.78516431758624,7.74076089577178e-06,0.00101145942371418,0.00101145942371418,"NME4/NDUFS7/OGDH/HSPA8/ALDOB/GPI/GAPDH/NDUFB11/DHTKD1/GAPDHS/ATP1B1/NDUFA12/SDHA/ENO3/NDUFS2",15
"GO:1901740","GO:1901740","negative regulation of myoblast fusion","6/197","47/18842",0.127659574468085,12.2099578788206,7.90925611047761,9.0971926390728e-06,0.00116285853734235,0.00116285853734235,"RPL36A/RPL13/RPL28/RPL18A/RPL27/RPL13A",6
"GO:0016052","GO:0016052","carbohydrate catabolic process","10/197","165/18842",0.0606060606060606,5.79664666974312,6.36106795874267,9.52857476038043e-06,0.00119208552321355,0.00119208552321355,"HSD17B14/OGDH/ALDOB/GPI/GAPDH/DHTKD1/DHDH/MAN2C1/GAPDHS/ENO3",10
"GO:0034242","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","6/197","49/18842",0.122448979591837,11.7115922511136,7.71716719628266,1.16436688327617e-05,0.0014263494320133,0.0014263494320133,"RPL36A/RPL13/RPL28/RPL18A/RPL27/RPL13A",6
"GO:0002183","GO:0002183","cytoplasmic translational initiation","6/197","51/18842",0.117647058823529,11.252314123619,7.53591411010229,1.47377103341534e-05,0.00176852524009841,0.00176852524009841,"EIF2B3/EIF3C/EIF2S3/GAPDH/RPL13A/DENR",6
