"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PABPC1A",-4.48374083022101,11.5749978230734,-4.47759702805724,6.82885864601703e-05,0.00296313083857609,1.64289736423962
"KPNB3",-3.52793337752133,9.46226724214198,-4.47429008925604,6.8979938991356e-05,0.00296630126072903,1.63367090996804
"TMEM214",-3.82097713054158,10.675463592794,-4.47158515067034,6.95505506022638e-05,0.00296630126072903,1.62612535319985
"ACADM.3",4.33571582285756,11.8492564978308,4.45866389319626,7.23409954193563e-05,0.00305916582324227,1.59009712383311
"ASAH1B",-3.80882206616248,10.3679466973467,-4.45071997274673,7.41108808312493e-05,0.00309335551792982,1.56796060175664
"GRIPAP1",-2.91191949027175,10.1911339445394,-4.44948727662836,7.43893110524206e-05,0.00309335551792982,1.56452649610901
"SDSL",-2.89841758755124,10.0329192449293,-4.43852232084446,7.69116583805545e-05,0.00317181136627245,1.53399078534439
"LOC107379994",-4.88025101371491,11.644596063382,-4.42318207603154,8.05820690419146e-05,0.00329593872556683,1.4913040804061
"FH.1",4.02059851752711,11.6166086018581,4.4199659761361,8.13731226128292e-05,0.0033012348116912,1.48235976931515
"MTAP",-3.28110926176263,10.6101398883394,-4.40746460632132,8.45211593025388e-05,0.00340129503967475,1.44760880098724
"MACF1.1",-2.71752999198974,9.99900309832061,-4.40218692093201,8.58857961998742e-05,0.00342856098429898,1.43294604224269
"WBP4",-2.86184594886197,9.58788417717688,-4.39371248672427,8.81224068441147e-05,0.00348992706469946,1.40941193081156
"HMGCS1.3",-4.51210124229704,11.4475996512147,-4.38617657575553,9.01592986931576e-05,0.00354247953132958,1.38849462503919
"hao2.1",-4.40668307954579,11.0201535368739,-4.38119298888915,9.15316400971795e-05,0.00356830378191348,1.37466720988408
"DDX3.2",-3.81288724832877,10.6753634618788,-4.3726944468688,9.3919357817878e-05,0.0036224993449527,1.35109730183505
"ACY1.1",-4.04431166240997,10.5692933440366,-4.36911323542146,9.49437363840677e-05,0.0036224993449527,1.34116897137429
"AKR1A1B",-2.82909502546011,10.4970921214979,-4.36857138021819,9.5099682202165e-05,0.0036224993449527,1.3396669635659
"CYB5R2.1",-4.15678722655692,10.826188219698,-4.36367649777351,9.65198702817732e-05,0.00362294261455152,1.32610085161547
"PDIA3.2",5.42384040779941,13.4585947243782,4.36121211165243,9.72427380286342e-05,0.00362294261455152,1.31927245117741
"GNB2L1.1",-4.77476641127069,12.2122603170316,-4.36105351190449,9.72894409518846e-05,0.00362294261455152,1.31883303509414
"PTPDC1",3.36191193647274,10.2628769648524,4.3572609459939,9.84128192452284e-05,0.00363762939284214,1.30832670402487
"SMAP2",-3.00678412998513,10.6825902805886,-4.35461017032755,9.92055410643267e-05,0.0036399680140514,1.3009849439396
"Nfu_g_1_014807.1",-4.58448907121683,11.9483659169729,-4.35164784288938,0.000100098848435371,0.00364593615833944,1.29278178776259
"MSRB2.1",3.77175224706207,11.4538242782612,4.34761031356473,0.000101329110605439,0.00366400189797929,1.28160378022826
"DLST",-3.50359483338238,11.0975096681012,-4.34204591553343,0.000103048962544521,0.00369938361940404,1.26620344327237
"HNRNPR",-4.16497867571215,11.4202375906472,-4.32162586216949,0.00010960929165536,0.00380975243700883,1.20973636926589
"rpl36a",-3.80131681904268,11.4308144137805,-4.32023270855538,0.00011007150240406,0.00380975243700883,1.20588672322905
